Interactions	FigStatus	Notes	geneName	UniProt	Description	Pathway	Glycogene	Reactant	Product	Constraints	Compartment	Rules	Comments					Sequence
None			GALK1	P51570	Galactokinase	Nucleotide_Sugar_Synthesis,UDP-Gal_Synthesis	Kinase	Gal	Gal1P	None	Cytosol,Exosome	Gal{1P}						1
None			GALK2	Q01415	N-acetylgalactosamine kinase	Nucleotide_Sugar_Synthesis,UDP-GalNAc_Synthesis	Kinase	GalNAc	GalNAc1P	None	Cytosol	GalNAc{1P}						2
None			GALE	Q14376	UDP-glucose 4-epimerase	Nucleotide_Sugar_Synthesis,UDP-Gal_Synthesis,UDP-Glc_Synthesis,UDP-GalNAc_Synthesis,UDP-GlcNAc_Synthesis	Epimerase	UDP-Gal|UDP-Glc|UDP-GalNAc|UDP-GlcNAc	UDP-Glc|UDP-Gal|UDP-GlcNAc|UDP-GalNAc	None	Cytosol	{UDP-Gal<->UDP-Glc}|{UDP-GalNAc<->UDP-GlcNAc}						3
None			GFUS	Q13630	GDP-L-fucose synthase	Nucleotide_Sugar_Synthesis,GDP-Fuc_Synthesis	Synthase	GDP-4-keto-6-deoxy-D-mannose	GDP-Fuc	None	Cytosol	{GDP-4-keto-6-deoxy-D-mannose->GDP-Fuc}						4
GMPPA,GMPPB			GMPPB	Q9Y5P6	Mannose-1-phosphate guanyltransferase beta	Nucleotide_Sugar_Synthesis,GDP-Man_Synthesis	Guanyltransferase 	Man1P	GDP-Man	None	Cytosol	{Man1P->GDP-Man}						5
None			UAP1	Q16222	UDP-N-acetylhexosamine pyrophosphorylase	Nucleotide_Sugar_Synthesis,UDP-GalNAc_Synthesis,UDP-GlcNAc_Synthesis	Uridylyltransferase	GlcNAc1P|GalNAc1P	UDP-GlcNAc|UDP-GalNAc	None	Nucleus,Cytosol,Cell Membrane	{GlcNAc1P->UDP-GlcNAc}|{GalNAc1P->UDP-GalNAc}						6
None			FCSK	Q8N0W3	L-fucose kinase	Nucleotide_Sugar_Synthesis,GDP-Fuc_Synthesis	Kinase	Fuc	Fuc1P	None	Cytosol	Fuc{1P}						7
None			CMAS	Q8NFW8	N-acylneuraminate cytidylyltransferase	Nucleotide_Sugar_Synthesis,CMP-Neu5Ac_Synthesis	Cytidylyltransferase	Neu5Ac	CMP-Neu5Ac	None	Nucleus	{Neu5Ac->CMP-Neu5Ac}						8
None			FPGT	O14772	Fucose-1-phosphate guanylyltransferase	Nucleotide_Sugar_Synthesis,GDP-Fuc_Synthesis	Guanylyltransferase	Fuc1P	GDP-Fuc	None	Cytosol	{Fuc1P->GDP-Fuc}						9
GMPPA,GMPPB			GMPPA	Q96IJ6	Mannose-1-phosphate guanyltransferase alpha	Nucleotide_Sugar_Synthesis,GDP-Man_Synthesis	Guanylyltransferase	Man1P	GDP-Man	None	Cytosol,Exosome	{Man1P->GDP-Man}						10
None			AMDHD2	Q9Y303	N-acetylglucosamine-6-phosphate deacetylase	Nucleotide_Sugar_Synthesis,UDP-GlcNAc_Synthesis	Deacetylase	GlcNAc6P	GlcN6P	None	Nucleus,Cytosol	{GlcNAc6P->GlcN6P}						11
None			GALT	P07902	Galactose-1-phosphate uridylyltransferase	Nucleotide_Sugar_Synthesis,UDP-Gal_Synthesis	Uridylyltransferase	Gal1P	UDP-Gal	None	Cytosol,Golgi	{Gal1P->UDP-Gal}						12
None			UGP2	Q16851	UTP--glucose-1-phosphate uridylyltransferase	Nucleotide_Sugar_Synthesis,UDP-Glc_Synthesis	Uridylyltransferase	Glc1P	UDP-Glc	None	Nucleus,Cytosol,Exosome	{Glc1P->UDP-Glc}						13
None			UGDH	O60701	UDP-glucose 6-dehydrogenase	Nucleotide_Sugar_Synthesis,UDP-GlcA_Synthesis	Dehydrogenase	UDP-Glc	UDP-GlcA	None	Nucleus,Cytosol,Exosome	{UDP-Glc->UDP-GlcA}						14
None			UXS1	Q8NBZ7	UDP-glucuronic acid decarboxylase 1	Nucleotide_Sugar_Synthesis,UDP-Xyl_Synthesis	Decarboxylase	UDP-GlcA	UDP-Xyl	None	Cytosol,Golgi,Exosome	{UDP-GlcA->UDP-Xyl}						15
None			G6PC1	P35575	Glucose-6-phosphatase catalytic subunit 1	Nucleotide_Sugar_Synthesis,UDP-Glc_Synthesis,GDP-Man_Synthesis	Phosphatase	Glc6P|Fruc6P|Man6P	Glc|Fruc|Man	None	Endoplasmic Reticulum	Glc{!6P}|Fruc{!6P}|Man{!6P}						16
None			GNPNAT1	Q96EK6	Glucosamine 6-phosphate N-acetyltransferase	Nucleotide_Sugar_Synthesis,UDP-GlcNAc_Synthesis	Acetyltransferase	GlcN6P	GlcNAc6P	None	Golgi,Endoplasmic Reticulum,ERGIC,Cytosol,Endosome	{GlcN6P->GlcNAc6P}						17
None			GNE	Q9Y223	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	Nucleotide_Sugar_Synthesis,CMP-Neu5Ac_Synthesis	Epimerase,Kinase	UDP-GlcNAc|ManNAc	ManNAc|ManNAc6P	None	Cytosol	{UDP-GlcNAc->ManNAc}|ManNAc{6P}						18
None			GNPDA1	P46926	Glucosamine-6-phosphate isomerase 1	Nucleotide_Sugar_Synthesis,UDP-GlcNAc_Synthesis	Isomerase	GlcN6P	Fruc6P	None	Cytosol,Exosome	{GlcN6P->Fruc6P}						19
None			GPI	P06744	Glucose-6-phosphate isomerase	Nucleotide_Sugar_Synthesis,UDP-Glc_Synthesis	Isomerase	Glc6P	Fruc6P	None	Extracellular,Nucleus,Cytosol,Cell Membrane,Exosome	{GlcN6P->Fruc6P}						20
None			MPI	P34949	Mannose-6-phosphate isomerase	Nucleotide_Sugar_Synthesis,GDP-Man_Synthesis	Isomerase	Man6P|Fruc6P	Fruc6P|Man6P	None	Cytosol,Exosome	{Man6P<->Fruc6P}						21
None			RENBP	P51606	N-acylglucosamine 2-epimerase	Nucleotide_Sugar_Synthesis,CMP-Neu5Ac_Synthesis	Epimerase	GlcNAc|ManNAc	ManNAc|GlcNAc	None	Cytosol,Exosome,Extracellular	{GlcNAc<->ManNAc}						22
None			GNPDA2	Q8TDQ7	Glucosamine-6-phosphate isomerase 2	Nucleotide_Sugar_Synthesis,UDP-GlcNAc_Synthesis	Isomerase	GlcN6P	Fruc6P	None	Nucleus,Cytosol	{GlcN6P->Fruc6P}						23
None			PGM2	Q96G03	Phosphoglucomutase-2	Nucleotide_Sugar_Synthesis,UDP-Glc_Synthesis	Isomerase	Glc1P|Glc6P	Glc6P|Glc1P	None	Extracellular,Cytosol,Exosome	{Glc1P<->Glc6P}						24
None			PGM3	O95394	Phosphoacetylglucosamine mutase	Nucleotide_Sugar_Synthesis,UDP-GlcNAc_Synthesis	Isomerase	GlcNAc1P|GlcNAc6P	GlcNAc6P|GlcNAc1P	None	Cytosol	{GlcNAc1P<->GlcNAc6P}						25
None			GFPT1	Q06210	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	Nucleotide_Sugar_Synthesis,UDP-GlcNAc_Synthesis	Aminotransferase	Fruc6P	GlcN6P	None	Cytosol,Exosome,Extracellular	{Fruc6P->GlcN6P}						26
None			GFPT2	O94808	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	Nucleotide_Sugar_Synthesis,UDP-GlcNAc_Synthesis	Aminotransferase	Fruc6P	GlcN6P	None	Cytosol	{Fruc6P->GlcN6P}						27
None			NAGK	Q9UJ70	N-acetyl-D-glucosamine kinase	Nucleotide_Sugar_Synthesis,UDP-GlcNAc_Synthesis	Kinase	GlcNAc	GlcNAc6P	None	Cytosol,Exosome	GlcNAc{6P}						28
None			HK2	P52789	Hexokinase-2	Nucleotide_Sugar_Synthesis,UDP-Glc_Synthesis,GDP-Man_Synthesis	Kinase	Glc|Fruc|Man	Glc6P|Fruc6P|Man6P	None	Mitochondria,Cytosol,Cell Membrane	Glc{6P}|Fruc{6P}|Man{6P}						29
None			HK1	P19367	Hexokinase-1	Nucleotide_Sugar_Synthesis,UDP-Glc_Synthesis,GDP-Man_Synthesis	Kinase	Glc|Fruc|GlcN|Man	Glc6P|Fruc6P|GlcN6P|Man6P	None	Mitochondria,Cytosol	Glc{6P}|Fruc{6P}|GlcN{6P}|Man{6P}						30
None			HK3	P52790	Hexokinase-3	Nucleotide_Sugar_Synthesis,UDP-Glc_Synthesis,GDP-Man_Synthesis	Kinase	Glc|Fruc|Man	Glc6P|Fruc6P|Man6P	None	Extracellular,Mitochondria,Cytosol	Glc{6P}|Fruc{6P}|Man{6P}						31
None			GCK	P35557	Hexokinase-4	Nucleotide_Sugar_Synthesis,UDP-Glc_Synthesis,GDP-Man_Synthesis	Kinase	Glc|Fruc|Man	Glc6P|Fruc6P|Man6P	None	Nucleus,Mitochondria,Cytosol	Glc{6P}|Fruc{6P}|Man{6P}						32
None			GMDS	O60547	GDP-mannose 4,6 dehydratase	Nucleotide_Sugar_Synthesis,GDP-Fuc_Synthesis	Dehydratase	GDP-Man	GDP-4-6-dehydro-6-deoxy-D-Mannose	None	Cytosol,Exosome	{GDP-Man->GDP-4-6-dehydro-6-deoxy-D-Mannose}						33
None			NANS	Q9NR45	Sialic acid synthase	Nucleotide_Sugar_Synthesis,CMP-Neu5Ac_Synthesis	Synthase	ManNAc6P|Man6P	Neu5Ac|Kdn	None	Cytosol,Exosome	{ManNAc6P->Neu5Ac}|{Man6P->Kdn}						34
None			PMM2	O15305	Phosphomannomutase 2	Nucleotide_Sugar_Synthesis,GDP-Man_Synthesis	Isomerase	Man1P|Man6P  	Man6P|Man1P	None	Nucleus,Cytosol	Man{1P<->6P}						35
None			PGM1	P36871	Phosphoglucomutase-1	Nucleotide_Sugar_Synthesis,UDP-Glc_Synthesis	Isomerase	Glc(1P)|Glc(6P)	Glc(6P)|Glc(1P)	None	Extracellular,Cytosol,Exosome	Glc{1P<->6P}						36
None			PMM1	Q92871	Phosphomannomutase 1	Nucleotide_Sugar_Synthesis,GDP-Man_Synthesis	Isomerase	Man1P|Man6P  	Man6P|Man1P	None	Cytosol	Man{1P<->6P}						37
DPM1,DPM2,DPM3			DPM1	O60762	Dolichol-phosphate mannosyltransferase subunit 1	Dolichol_Pathway,O-Man,Nucleotide_Sugar_Synthesis	ManT,Dol-P-P_ManT	Dol-P	Man(a1-?)Dol-P	None	Nucleus,Endoplasmic Reticulum	{Man(a1-?)}Dol-P						38
DPM1,DPM2,DPM3			DPM2	O94777	Dolichol phosphate-mannose biosynthesis regulatory protein	Dolichol_Pathway,O-Man,Nucleotide_Sugar_Synthesis, GPI_Linked	Enhancer	no reaction		None	Endoplasmic Reticulum	no reaction						39
DPM1,DPM2,DPM3			DPM3	Q9P2X0	Dolichol-phosphate mannosyltransferase subunit 3	Dolichol_Pathway,O-Man,Nucleotide_Sugar_Synthesis	Enhancer	no reaction		None	Endoplasmic Reticulum	no reaction						40
None			ALG5	Q9Y673	Dolichyl-phosphate beta-glucosyltransferase	Dolichol_Pathway,Nucleotide_Sugar_Synthesis	GlcT	Dol-P	Glc(a1-?)Dol-P	None	Endoplasmic Reticulum	{Glc(a1-?)}Dol-P						41
None			SLC35C1	Q96A29	GDP-fucose transporter 1	Nucleotide_Sugar_Transport,GDP-Fuc_Transport	Nucleotide_Sugar_Transporter	GPF-Fuc[cyto]	GPF-Fuc[Golgi]	None	Golgi	GDP-Fuc[Cytoplasm]->GDP-Fuc[Golgi]						42
None			SLC35A2	P78381	UDP-galactose translocator	Nucleotide_Sugar_Transport,UDP-Gal_Transport	Nucleotide_Sugar_Transporter	UDP-Gal[cyto]	UDP-Gal[Golgi]	None	Golgi,Nucleus,Endoplasmic Reticulum	UDP-Gal[Cytoplasm]->UDP-Gal[Golgi]						43
None			SLC35D1	Q9NTN3	UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter	Nucleotide_Sugar_Transport,UDP-GlcA_Transport,UDP-GalNAc_Transport	Nucleotide_Sugar_Transporter	UDP-GlcA [cyto]|UDP-GlcA [cyto]|UDP-GalNAc [cyto]|UDP-GalNAc [cyto]	UDP-GlcA [ER]|UDP-GlcA [Golgi]|UDP-GalNAc [ER]|UDP-GalNAc [Golgi]	None	Endoplasmic Reticulum,Golgi	UDP-GlcA[Cytoplasm]->UDP-GlcA[ER]|UDP-GlcA[Cytoplasm]->UDP-GlcA[Golgi]|UDP-GalNAc[Cytoplasm]->UDP-GalNAc[ER]|UDP-GalNAc[Cytoplasm]->UDP-GalNAc[Golgi]						44
None			SLC35A3	Q9Y2D2	UDP-N-acetylglucosamine transporter	Nucleotide_Sugar_Transport,UDP-GlcNAc_Transport	Nucleotide_Sugar_Transporter	UDP-GlcNAc[cyto]	UDP-GlcNAc[Golgi]	None	Golgi	UDP-GlcNAc[Cytoplasm]->UDP-GlcNAc[Golgi]						45
None			SLC35D2	Q76EJ3	UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter	Nucleotide_Sugar_Transport,UDP-GlcNAc_Transport,UDP-Glc_Transport,GDP-Man_Transport	Nucleotide_Sugar_Transporter	UDP-GlcNAc [cyto]|UDP-Glc [cyto]|GDP-Man [cyto]	UDP-GlcNAc [Golgi]|UDP-Glc [Golgi]|GDP-Man [Golgi]	None	Golgi	UDP-GlcNAc[Cytoplasm]->UDP-GlcNAc[Golgi]|UDP-Glc[Cytoplasm]->UDP-Glc[Golgi]|GDP-Man[Cytoplasm]->GDP-Man[Golgi]	Antiporter transporting nucleotide sugars UDP-N-acetylglucosamine (UDP-GlcNAc), UDP-glucose (UDP-Glc) and GDP-mannose (GDP-Man) from cytosol into Golgi, in exchange for the corresponding nucleosides monophosphates (UMP for UDP-sugars and GMP for GDP-sugars).					46
None			SLC35B2	Q8TB61	Adenosine 3'-phospho 5'-phosphosulfate transporter 1	Modification Transport,PAPS_Transport	PAPS_Transporter	PAPS [cyto]	PAPS [Golgi]	None	Golgi,Endoplasmic Reticulum	PAPS[Cytoplasm]->PAPS[Golgi]	PAPS is a universal sulfuryl donor for sulfation					47
None			SLC35B3	Q9H1N7	Adenosine 3'-phospho 5'-phosphosulfate transporter 2	Modification Transport,PAPS_Transport	PAPS_Transporter	PAPS [cyto]	PAPS [Golgi]	None	Golgi,Endoplasmic Reticulum	PAPS[Cytoplasm]->PAPS[Golgi]	PAPS is a universal sulfuryl donor for sulfation					48
None			SLC35A1	P78382	CMP-sialic acid transporter	Nucleotide_Sugar_Transport,CMP-Neu5Ac_Transport	Nucleotide_Sugar_Transporter	CMP-Neu5Ac [cyto]|CMP-Sia [cyto]	CMP-Neu5Ac [Golgi]|CMP-Sia [Golgi]	None	Golgi,Cell Membrane	CMP-Neu5Ac[Cytoplasm]->CMP-Neu5Ac[Golgi]						49
None			SLC35B4	Q969S0	UDP-xylose and UDP-N-acetylglucosamine transporter	Nucleotide_Sugar_Transport,UDP-Xyl_Transport,UDP-GlcNAc_Transport	Nucleotide_Sugar_Transporter	UDP-Xyl [cyto]|UDP-GlcNAc [cyto]	UDP-Xyl [Golgi]|UDP-GlcNAc [Golgi]?	None	Golgi,Endoplasmic Reticulum	UDP-Xyl[Cytoplasm]->UDP-Xyl[Golgi]|UDP-GlcNAc[Cytoplasm]->UDP-GlcNAc[Golgi]						50
None			DAD1	P61803	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	Dolichol_Pathway	Regulator, Enhancer	no reaction		None	Endoplasmic Reticulum	no reaction						51
None			DDOST	P39656	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	Dolichol_Pathway	Regulator, Enhancer	no reaction		None	Endoplasmic Reticulum,Cell Membrane	no reaction						52
None			RPN1	P04843	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	Dolichol_Pathway	Regulator, Enhancer	no reaction		None	Endoplasmic Reticulum,Cytosol	no reaction						53
None			RPN2	P04844	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	Dolichol_Pathway	Regulator, Enhancer	no reaction		None	Endoplasmic Reticulum	no reaction						54
None			STT3A	P46977	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	Dolichol_Pathway	Oligosaccharyltransferase	Glc(a1-2)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?):Dol-P-P	Glc(a1-2)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-?)Asn	None	Endoplasmic Reticulum	Glc(a1-2)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4){GlcNAc(a1-?)Dol-P-P->GlcNAc(b1-?)Asn}						55
None			STT3B	Q8TCJ2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	Dolichol_Pathway	Oligosaccharyltransferase	Glc(a1-2)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?):Dol-P-P	Glc(a1-2)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-?)Asn	None	Endoplasmic Reticulum	Glc(a1-2)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4){GlcNAc(a1-?)Dol-P-P->GlcNAc(b1-?)Asn}						56
None			ALG3	Q92685	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase	Dolichol_Pathway	ManT,α3ManT	Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	Man(a1-3)Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum	{Man(a1-3)}Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P						57
None			ALG9	Q9H6U8	Alpha-1,2-mannosyltransferase ALG9	Dolichol_Pathway	ManT,α2ManT	Man(a1-3)Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P|Man(a1-2)Man(a1-3)[Man(1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	Man(a1-2)Man(a1-3)Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P|Man(a1-2)Man(a1-3)[Man(1-3)Man(1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum	{Man(a1-2)}Man(a1-3)Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P|Man(a1-2)Man(a1-3)[{Man(1-3)}Man(1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P						58
None			ALG12	Q9BV10	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase	Dolichol_Pathway	ManT,α6ManT	Man(a1-2)Man(a1-3)Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum,Endoplasmic Reticulum Lumen	Man(a1-2)Man(a1-3){[Man(a1-6)]}Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P						59
None			ALG6	Q9Y672	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase	Dolichol_Pathway	GlcT	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[{Glc(a1-3)}Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P						60
None			ALG8	Q9BVK2	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase	Dolichol_Pathway	GlcT	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Glc(a1-2)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[{Glc(a1-2)}Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P						61
None			ALG10	Q5BKT4	Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase	Dolichol_Pathway	GlcT	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[{Glc(a1-2)}Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P						62
None			ALG10B	Q5I7T1	Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase	Dolichol_Pathway	GlcT	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum,Cell Membrane	Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[{Glc(a1-2)}Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-P-P						63
None			DPAGT1	Q9H3H5	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	Dolichol_Pathway	GlcNAcT	Dol-P	GlcNAc(a1-?)Dol-P-P	None	Endoplasmic Reticulum	{Dol-P->GlcNAc(a1-?)Dol-P-P}						64
